# Energy calculation - Metropolis algorithm
# Total number of throws: M = 1000
# Number of blocks: N = 1000
# Throws per block: L = 1
# Initial position: x0 = 0
# Uniform proposal half-width: delta = 1.2
# Acceptance rate: A = accepted/attempted = 0.502
# Wavefunction parameters: (mu,sigma) = (1, 0.5)
# Columns:
# 1) block index
# 2) block average
# 3) progressive average
# 4) progressive statistical uncertainty
220 -0.264787 -0.194893 0.0788851
221 -0.264787 -0.195209 0.0785279
222 0.511848 -0.192024 0.0782383
223 -0.0148205 -0.191229 0.0778907
224 -0.0148205 -0.190442 0.0775462
225 0.0502917 -0.189372 0.0772082
226 0.0502917 -0.188312 0.0768731
227 -2.63693 -0.199098 0.0772901
228 -4.31302 -0.217142 0.0790375
229 -5.21979 -0.238988 0.0816677
230 -4.87275 -0.259134 0.0837705
231 -0.0901216 -0.258403 0.0834103
232 -0.17339 -0.258036 0.0830508
233 0.495034 -0.254804 0.0827567
234 0.495034 -0.2516 0.0824646
235 0.495034 -0.248423 0.0821744
236 0.495034 -0.245272 0.0818861
237 0.482066 -0.242203 0.0815976
238 -0.0362976 -0.241338 0.0812586
239 0.067192 -0.240047 0.0809282
240 0.067192 -0.238767 0.0806004
241 0.067192 -0.237498 0.0802753
242 0.067192 -0.236239 0.0799528
243 0.067192 -0.23499 0.0796329
244 -0.100734 -0.23444 0.0793078
245 0.351776 -0.232047 0.0790197
246 0.351776 -0.229674 0.0787336
247 0.351776 -0.22732 0.0784495
248 0.0478956 -0.22621 0.0781404
249 0.307218 -0.224068 0.0778554
250 -0.902421 -0.226781 0.0775909
251 -0.902421 -0.229473 0.077328
252 0.188953 -0.227812 0.0770384
253 -0.39396 -0.228469 0.0767361
254 0.426941 -0.225889 0.0764769
255 0.499588 -0.223044 0.0762295
256 0.499588 -0.220221 0.0759836
257 0.499588 -0.21742 0.0757392
258 0.499588 -0.214641 0.0754962
259 -0.604881 -0.216148 0.0752193
260 -0.604881 -0.217643 0.0749443
261 -0.604881 -0.219127 0.0746714
262 -0.604881 -0.220599 0.0744004
263 -0.604881 -0.22206 0.0741314
264 -0.815988 -0.22431 0.0738843
265 0.199644 -0.22271 0.0736223
266 0.199644 -0.221122 0.0733622
267 -4.81261 -0.238319 0.0750828
268 0.386377 -0.235988 0.0748384
269 0.386377 -0.233674 0.0745956
270 -0.442624 -0.234448 0.0743228
