# Energy calculation - Metropolis algorithm
# Total number of throws: M = 1000000
# Number of blocks: N = 1000
# Throws per block: L = 1000
# Initial position: x0 = 0
# Uniform proposal half-width: delta = 1.2
# Acceptance rate: A = accepted/attempted = 0.670042
# Wavefunction parameters: (mu,sigma) = (-0.860813, 0.582034)
# Columns:
# 1) block index
# 2) block average
# 3) progressive average
# 4) progressive statistical uncertainty
151 -0.450154 -0.420875 0.0022165
152 -0.452397 -0.421083 0.00221161
153 -0.418592 -0.421066 0.00219717
154 -0.401418 -0.420939 0.00218658
155 -0.419945 -0.420932 0.00217244
156 -0.437426 -0.421038 0.00216106
157 -0.438384 -0.421149 0.00215009
158 -0.411554 -0.421088 0.0021373
159 -0.406745 -0.420998 0.00212573
160 -0.431429 -0.421063 0.00211341
161 -0.431714 -0.421129 0.00210128
162 -0.436611 -0.421225 0.00209046
163 -0.385697 -0.421007 0.002089
164 -0.409504 -0.420936 0.0020774
165 -0.399956 -0.420809 0.00206869
166 -0.435407 -0.420897 0.00205807
167 -0.435529 -0.420985 0.00204758
168 -0.399468 -0.420857 0.00203938
169 -0.413727 -0.420815 0.00202772
170 -0.409559 -0.420748 0.00201684
171 -0.424977 -0.420773 0.00200516
172 -0.426176 -0.420805 0.00199372
173 -0.449054 -0.420968 0.00198888
174 -0.368793 -0.420668 0.00200002
175 -0.393475 -0.420513 0.00199462
176 -0.444972 -0.420652 0.00198812
177 -0.41903 -0.420642 0.00197687
178 -0.390757 -0.420474 0.00197289
179 -0.445706 -0.420615 0.0019669
180 -0.346386 -0.420203 0.00199894
181 -0.444785 -0.420339 0.0019925
182 -0.411289 -0.420289 0.00198215
183 -0.436614 -0.420378 0.0019733
184 -0.377938 -0.420148 0.00197606
185 -0.423896 -0.420168 0.00196545
186 -0.432781 -0.420236 0.00195603
187 -0.388661 -0.420067 0.00195286
188 -0.434291 -0.420143 0.00194391
189 -0.457593 -0.420341 0.00194373
190 -0.426878 -0.420375 0.00193378
191 -0.467419 -0.420621 0.00193933
192 -0.446692 -0.420757 0.00193398
193 -0.442293 -0.420869 0.00192716
194 -0.425693 -0.420894 0.00191736
195 -0.425988 -0.42092 0.00190768
196 -0.429095 -0.420962 0.00189838
197 -0.400604 -0.420858 0.00189155
198 -0.352119 -0.420511 0.00191372
199 -0.417916 -0.420498 0.00190413
200 -0.413581 -0.420463 0.0018949
201 -0.372062 -0.420223 0.00190076
202 -0.420444 -0.420224 0.00189133
203 -0.41913 -0.420218 0.001882
204 -0.425392 -0.420244 0.00187292
205 -0.414673 -0.420216 0.00186396
