# Buffon's needle experiment - Monte Carlo estimation of pi
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: N_throws = 10000
# Needle length: L = 1
# Distance between lines: d = 1.2
# Columns:
# 1) block index
# 2) pi estimate in the block
# 3) progressive mean of pi
# 4) progressive statistical uncertainty

171 3.13873 3.14346 0.00244518
172 3.18918 3.14372 0.00244541
173 3.10945 3.14353 0.0024393
174 3.12695 3.14343 0.00242711
175 3.11294 3.14326 0.00241948
176 3.13342 3.1432 0.00240634
177 3.12872 3.14312 0.00239411
178 3.1293 3.14304 0.00238188
179 3.15716 3.14312 0.00236985
180 3.16676 3.14325 0.00236031
181 3.10366 3.14303 0.0023574
182 3.1904 3.14329 0.00235882
183 3.17158 3.14345 0.00235098
184 3.13991 3.14343 0.00233825
185 3.11294 3.14326 0.0023314
186 3.14406 3.14327 0.00231884
187 3.20266 3.14359 0.00232818
188 3.174 3.14375 0.0023214
189 3.13814 3.14372 0.00230928
190 3.11818 3.14358 0.00230102
191 3.1506 3.14362 0.00228924
192 3.12051 3.1435 0.00228046
193 3.17702 3.14367 0.00227525
194 3.11818 3.14354 0.00226731
195 3.13048 3.14347 0.00225664
196 3.14288 3.14347 0.0022451
197 3.05474 3.14302 0.00227864
198 3.13814 3.143 0.00226723
199 3.16676 3.14312 0.00225897
200 3.14169 3.14311 0.00224766
201 3.17884 3.14329 0.0022435
202 3.11643 3.14315 0.00223632
203 3.13283 3.1431 0.00222586
204 3.13814 3.14308 0.00221506
205 3.08928 3.14282 0.00221979
206 3.14703 3.14284 0.00220908
207 3.12168 3.14273 0.00220076
208 3.12402 3.14264 0.002192
209 3.14465 3.14265 0.00218151
210 3.12051 3.14255 0.00217365
211 3.16616 3.14266 0.00216622
212 3.14169 3.14266 0.00215598
213 3.17763 3.14282 0.00215211
214 3.14703 3.14284 0.00214212
215 3.15298 3.14289 0.00213265
216 3.13873 3.14287 0.00212285
217 3.11585 3.14274 0.00211671
218 3.10598 3.14257 0.00211371
219 3.13991 3.14256 0.00210407
220 3.10945 3.14241 0.00209989
221 3.14465 3.14242 0.00209039
222 3.16556 3.14253 0.00208356
223 3.15836 3.1426 0.00207541
224 3.14703 3.14262 0.00206622
225 3.14941 3.14265 0.00205724
226 3.13578 3.14262 0.00204834
227 3.10713 3.14246 0.00204528
228 3.14525 3.14247 0.00203633
229 3.15896 3.14254 0.00202869
230 3.16616 3.14265 0.00202246
231 3.16376 3.14274 0.00201576
232 3.11818 3.14263 0.00200984
233 3.15776 3.1427 0.00200225
234 3.15298 3.14274 0.00199416
235 3.1346 3.14271 0.00198596
236 3.15776 3.14277 0.00197855
237 3.18309 3.14294 0.00197752
238 3.09905 3.14276 0.00197781
239 3.10655 3.14261 0.00197533
240 3.19346 3.14282 0.00197846
241 3.12344 3.14274 0.00197188
242 3.2039 3.14299 0.00197991
243 3.13519 3.14296 0.00197201
244 3.13401 3.14292 0.00196425
245 3.18857 3.14311 0.00196507
246 3.13991 3.14309 0.00195711
247 3.14644 3.14311 0.00194922
248 3.13873 3.14309 0.00194142
249 3.14703 3.14311 0.00193367
250 3.14762 3.14312 0.00192601
251 3.16676 3.14322 0.00192063
252 3.13519 3.14319 0.00191326
253 3.16736 3.14328 0.00190807
254 3.13342 3.14324 0.00190094
255 3.13578 3.14321 0.0018937
256 3.1904 3.1434 0.00189527
257 3.15597 3.14345 0.00188852
258 3.15119 3.14348 0.00188142
259 3.11993 3.14339 0.00187635
260 3.11003 3.14326 0.00187352
261 3.19346 3.14345 0.00187621
262 3.16136 3.14352 0.00187028
263 3.15956 3.14358 0.00186416
264 3.12813 3.14352 0.001858
265 3.11061 3.1434 0.00185514
266 3.15119 3.14343 0.00184839
267 3.16736 3.14352 0.00184363
268 3.16196 3.14358 0.00183803
269 3.14169 3.14358 0.0018312
270 3.14584 3.14359 0.00182442
271 3.15896 3.14364 0.00181856
272 3.10829 3.14351 0.00181652
273 3.16797 3.1436 0.00181207
274 3.13283 3.14356 0.00180587
275 3.12813 3.14351 0.00180016
276 3.16436 3.14358 0.00179522
