# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.5195
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.5015
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
90 1.60917 11.1342 0.567169 10.3716 12.7961 0.538941
91 1.50664 11.0284 0.570793 10.3716 12.7695 0.533651
92 1.50664 10.9249 0.573963 9.57407 12.7348 0.52896
93 1.50664 10.8237 0.576719 9.57407 12.7008 0.524344
94 1.50664 10.7245 0.579096 9.57407 12.6675 0.519801
95 1.69486 10.6295 0.580798 9.57407 12.635 0.515331
96 1.69981 10.5365 0.582195 8.43772 12.5912 0.511805
97 1.69981 10.4454 0.58332 8.42785 12.5483 0.508317
98 1.69981 10.3561 0.584193 9.16608 12.5138 0.504285
99 1.43149 10.266 0.585247 9.16608 12.48 0.50031
100 1.43149 10.1776 0.586062 9.16608 12.4469 0.496389
101 1.43149 10.091 0.586656 9.16608 12.4144 0.492522
102 1.37818 10.0056 0.587123 9.16608 12.3825 0.488708
103 2.18635 9.92971 0.586331 6.23204 12.3228 0.48761
104 2.18635 9.85525 0.585419 6.23204 12.2642 0.486437
105 2.18635 9.78221 0.584399 6.53854 12.2097 0.484858
106 1.65889 9.70558 0.583911 5.08445 12.1425 0.484944
107 1.65889 9.63038 0.583296 5.12876 12.0769 0.484842
108 0.906773 9.5496 0.583488 5.12876 12.0126 0.484621
109 1.21899 9.47317 0.58314 5.12876 11.9495 0.48429
110 1.21899 9.39814 0.582666 4.08269 11.8779 0.485167
111 1.43127 9.32636 0.581837 4.99245 11.8159 0.484761
112 1.43127 9.25587 0.580912 6.63208 11.7696 0.482638
113 1.43127 9.18663 0.579897 6.63208 11.7242 0.480503
114 1.43127 9.1186 0.578799 9.52282 11.7048 0.476661
115 1.03611 9.04831 0.578033 8.90178 11.6805 0.473126
116 1.03611 8.97924 0.577176 8.90178 11.6565 0.469641
117 1.00629 8.9111 0.576265 8.90178 11.633 0.466205
118 0.862139 8.84289 0.575418 6.90448 11.5929 0.463971
119 1.13376 8.7781 0.574228 6.9571 11.5539 0.461702
120 1.14829 8.71452 0.572961 6.9571 11.5156 0.459438
