# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.505173
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.495557
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
84 1.85746 1.50248 0.0140135 4.93637 4.97133 0.0337126
85 1.43273 1.50166 0.0138719 5.12158 4.9731 0.0333604
86 1.33438 1.49972 0.013847 5.21176 4.97587 0.0330868
87 1.44131 1.49905 0.0137033 5.30939 4.97971 0.0329282
88 1.3393 1.49723 0.0136678 4.86229 4.97837 0.0325792
89 1.58243 1.49819 0.0135472 4.67351 4.97495 0.0323927
90 1.30444 1.49604 0.0135677 4.56027 4.97034 0.0323605
91 1.5685 1.49683 0.0134414 5.09272 4.97168 0.0320311
92 1.38619 1.49563 0.0133488 4.76953 4.96949 0.0317572
93 1.56375 1.49636 0.0132248 5.79909 4.97841 0.0326558
94 1.43692 1.49573 0.0130986 5.41842 4.98309 0.0326439
95 1.59971 1.49682 0.0130061 4.7077 4.98019 0.0324283
96 1.50994 1.49696 0.0128707 4.43743 4.97453 0.032583
97 1.64499 1.49849 0.0128284 4.64085 4.97109 0.0324283
98 1.4008 1.49749 0.0127359 4.92845 4.97066 0.0320987
99 1.40393 1.49654 0.0126419 4.51872 4.96609 0.0320991
100 1.53334 1.49691 0.0125203 4.80839 4.96452 0.0318155
101 1.54081 1.49735 0.0124033 5.22002 4.96705 0.0316004
102 1.47733 1.49715 0.0122827 5.12231 4.96857 0.0313261
103 1.32287 1.49546 0.01228 4.8749 4.96766 0.0310338
104 1.40467 1.49459 0.0121926 4.85354 4.96656 0.0307535
105 1.55003 1.49511 0.0120875 4.81666 4.96514 0.0304926
106 1.57272 1.49585 0.0119953 4.27699 4.95864 0.0308934
107 1.4777 1.49568 0.0118838 4.83453 4.95748 0.0306253
108 1.6062 1.4967 0.0118177 5.39005 4.96149 0.0306036
109 1.41064 1.49591 0.0117354 5.54453 4.96684 0.0307898
110 1.69714 1.49774 0.0117712 5.059 4.96768 0.0305201
111 1.37742 1.49666 0.0117149 4.71208 4.96537 0.0303314
112 1.5824 1.49742 0.0116351 5.12152 4.96677 0.0300917
113 1.55433 1.49792 0.0115426 4.8972 4.96615 0.0298305
114 1.4655 1.49764 0.0114445 5.11472 4.96745 0.0295964
115 1.35843 1.49643 0.0114089 5.1525 4.96906 0.029382
116 1.59165 1.49725 0.0113399 4.20086 4.96244 0.029871
117 1.46076 1.49694 0.0112469 4.73273 4.96048 0.0296796
118 1.51143 1.49706 0.0111518 5.18712 4.9624 0.0294896
119 1.43976 1.49658 0.0110682 5.07992 4.96339 0.0292574
120 1.52384 1.49681 0.0109779 4.42861 4.95893 0.0293528
121 1.71702 1.49863 0.0110379 5.0486 4.95967 0.0291187
122 1.61625 1.49959 0.0109894 4.8304 4.95861 0.0288985
123 1.26102 1.49765 0.0110709 4.83702 4.95762 0.0286796
124 1.72502 1.49949 0.0111333 6.03852 4.96634 0.0297529
125 1.38649 1.49858 0.0110808 4.50142 4.96262 0.0297474
126 1.33598 1.49729 0.011068 4.36115 4.95785 0.0298939
127 1.54882 1.4977 0.010988 4.92515 4.95759 0.0296587
128 1.34951 1.49654 0.0109632 5.77314 4.96396 0.030108
129 1.55947 1.49703 0.0108888 5.27866 4.9664 0.0299731
130 1.47839 1.49688 0.0108056 5.12344 4.96761 0.0297662
131 1.4808 1.49676 0.0107235 5.41428 4.97102 0.0297343
132 1.59241 1.49749 0.0106666 4.40052 4.9667 0.029823
133 1.41178 1.49684 0.0106057 5.11008 4.96777 0.0296175
134 1.58974 1.49753 0.0105491 4.85542 4.96694 0.0294076
135 1.65646 1.49871 0.0105366 5.23901 4.96895 0.0292585
136 1.50538 1.49876 0.010459 4.755 4.96738 0.0290851
137 1.44311 1.49835 0.0103903 5.03368 4.96786 0.0288761
138 1.48663 1.49827 0.0103151 5.15659 4.96923 0.0286987
139 1.61755 1.49913 0.0102765 4.89669 4.96871 0.0284962
140 1.452 1.49879 0.0102084 4.53496 4.96561 0.0284611
141 1.5527 1.49917 0.0101429 5.01129 4.96593 0.0282604
142 1.48006 1.49904 0.0100721 4.56596 4.96312 0.0282017
143 1.53819 1.49931 0.0100052 5.23206 4.965 0.0280668
144 1.63196 1.50023 0.00997809 5.55351 4.96908 0.0281693
145 1.48301 1.50011 0.00990975 5.64671 4.97376 0.028362
146 1.44282 1.49972 0.00984946 4.6889 4.97181 0.0282346
147 1.72242 1.50124 0.00989884 4.82449 4.9708 0.0280598
148 1.44418 1.50085 0.00983929 4.86936 4.97012 0.0278779
149 1.39571 1.50015 0.00979847 5.00695 4.97037 0.0276913
150 1.33777 1.49906 0.00979294 5.11127 4.97131 0.0275221
151 1.40782 1.49846 0.00974662 4.55268 4.96853 0.0274795
152 1.6699 1.49959 0.00974776 4.99099 4.96868 0.0272985
153 1.68034 1.50077 0.00975564 4.29259 4.96426 0.0274771
154 1.34824 1.49978 0.00974256 4.83152 4.9634 0.0273117
155 1.45935 1.49952 0.00968302 5.08087 4.96416 0.0271455
156 1.5464 1.49982 0.00962544 5.62953 4.96842 0.0273061
157 1.46679 1.49961 0.00956625 5.20228 4.96991 0.0271725
158 1.52563 1.49977 0.00950693 4.79136 4.96878 0.0270236
159 1.47336 1.49961 0.00944841 5.00512 4.96901 0.0268541
160 1.36461 1.49876 0.00942701 5.32646 4.97125 0.0267791
161 1.48072 1.49865 0.00936894 5.2349 4.97288 0.0266626
162 1.58113 1.49916 0.00932484 4.99115 4.973 0.0264977
163 1.47692 1.49902 0.00926846 5.07047 4.97359 0.0263414
164 1.50729 1.49907 0.00921191 4.47289 4.97054 0.0263577
165 1.81461 1.50099 0.00935349 4.98383 4.97062 0.0261976
166 1.59139 1.50153 0.00931291 5.0492 4.97109 0.0260436
167 1.6663 1.50252 0.0093094 4.86599 4.97047 0.0258949
168 1.5363 1.50272 0.00925601 4.68984 4.96879 0.0257944
169 1.50145 1.50271 0.00920108 5.5967 4.97251 0.0259091
170 1.45374 1.50242 0.00915133 4.74952 4.9712 0.0257896
171 1.52704 1.50257 0.0090988 4.87099 4.97061 0.0256451
172 1.45401 1.50228 0.00905015 4.57289 4.9683 0.0256002
173 1.54854 1.50255 0.00900165 4.76464 4.96712 0.025479
174 1.40352 1.50198 0.00896785 4.6594 4.96535 0.0253938
175 1.57041 1.50237 0.00892503 5.22458 4.96684 0.0252917
176 1.46801 1.50218 0.00887632 4.92179 4.96658 0.0251489
177 1.45944 1.50194 0.00882933 4.57593 4.96437 0.0251036
178 1.52353 1.50206 0.00878042 5.56997 4.96777 0.0251929
179 1.46593 1.50186 0.00873357 5.08434 4.96843 0.0250603
180 1.44116 1.50152 0.00869145 4.72816 4.96709 0.0249564
