# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.524
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.507
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
90 3.91144 12.721 0.383665 4.82943 6.86059 0.428112
91 3.91144 12.6242 0.391581 4.82943 6.83827 0.423969
92 3.63437 12.5265 0.399438 4.82943 6.81644 0.419904
93 3.87413 12.4334 0.405925 5.28967 6.80002 0.415689
94 3.70611 12.3406 0.412176 5.28967 6.78395 0.411556
95 3.70611 12.2497 0.41782 3.55716 6.74998 0.408615
96 3.04193 12.1538 0.424424 3.55716 6.71673 0.405702
97 3.38991 12.0634 0.429633 3.55716 6.68415 0.402817
98 3.16505 11.9726 0.434813 3.55716 6.65224 0.39996
99 3.42245 11.8863 0.438978 4.77514 6.63328 0.396353
100 3.42245 11.8016 0.442732 4.43328 6.61128 0.392986
101 3.42245 11.7187 0.446109 4.43328 6.58972 0.389673
102 3.42245 11.6373 0.449139 3.25171 6.55699 0.387219
103 2.6411 11.55 0.453252 3.25171 6.5249 0.384781
104 2.65231 11.4644 0.456954 3.25171 6.49343 0.382361
105 2.87644 11.3826 0.459912 3.25171 6.46256 0.379959
106 2.87644 11.3024 0.462566 3.25171 6.43227 0.377574
107 2.51077 11.2202 0.465531 3.25171 6.40254 0.375208
108 2.11557 11.1359 0.468842 3.25171 6.37337 0.372861
109 2.03232 11.0524 0.471969 3.85373 6.35025 0.370147
110 0.910611 10.9602 0.476661 3.85373 6.32756 0.367468
111 0.539899 10.8663 0.481585 3.85373 6.30527 0.364824
112 0.539899 10.7741 0.48609 3.64538 6.28152 0.362331
113 0.539899 10.6836 0.490209 2.04866 6.24406 0.361058
