# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.494
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.4985
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
89 0.715938 0.81499 0.0453986 9.27664 4.82638 0.236494
90 0.715938 0.813889 0.0449049 9.27664 4.87583 0.239022
91 1.02142 0.81617 0.0444672 9.27664 4.92419 0.241277
92 1.02142 0.818401 0.0440377 8.62444 4.96441 0.242005
93 1.02142 0.820584 0.0436163 8.62444 5.00376 0.242603
94 1.02142 0.82272 0.0432027 8.62444 5.04228 0.243079
95 1.35709 0.828345 0.043114 8.62444 5.07999 0.243445
96 1.2429 0.832664 0.0428805 7.75634 5.10787 0.242503
97 1.2429 0.836893 0.0426464 7.5442 5.13298 0.241301
98 1.2429 0.841036 0.0424118 8.33513 5.16566 0.241051
99 1.2429 0.845095 0.042177 8.33513 5.19767 0.240742
100 1.2429 0.849073 0.0419422 8.33513 5.22905 0.240378
101 1.2429 0.852973 0.0417075 8.33513 5.2598 0.239965
102 1.2429 0.856795 0.0414732 8.33513 5.28995 0.239506
103 1.10005 0.859157 0.0411364 5.24122 5.28948 0.23717
104 1.10005 0.861473 0.0408047 5.24122 5.28901 0.234879
105 1.10005 0.863746 0.0404781 5.49928 5.29102 0.23264
106 1.10441 0.866016 0.0401586 4.26509 5.28134 0.230638
107 0.773221 0.865149 0.039791 4.3541 5.27267 0.228637
108 0.773221 0.864298 0.03943 4.3541 5.26417 0.226669
109 1.21182 0.867486 0.0391965 5.05524 5.26225 0.224588
110 1.21182 0.870616 0.0389644 4.07176 5.25143 0.2228
111 1.26262 0.874148 0.038773 4.07176 5.2408 0.22104
112 1.26262 0.877616 0.0385815 5.03407 5.23895 0.219065
113 1.26262 0.881023 0.03839 5.03407 5.23714 0.217125
114 1.26262 0.88437 0.0381987 8.35844 5.26452 0.216947
115 0.73329 0.883057 0.0378879 7.38407 5.28295 0.21584
