# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.507619
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.497368
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
84 1.43835 1.52032 0.0154571 4.74312 4.97965 0.0335547
85 1.52853 1.52041 0.0152745 5.01842 4.9801 0.0331608
86 1.42741 1.51933 0.0151345 5.20392 4.9827 0.0328761
87 1.58846 1.52013 0.0149806 4.52664 4.97746 0.0329161
88 1.47004 1.51956 0.0148204 5.05161 4.9783 0.0325508
89 1.42432 1.51849 0.0146919 4.76078 4.97586 0.0322757
90 1.57242 1.51909 0.0145401 5.14059 4.97769 0.0319675
91 1.31101 1.5168 0.0145601 4.39773 4.97132 0.0322502
92 1.61271 1.51784 0.0144387 5.23359 4.97417 0.0320249
93 1.45244 1.51714 0.0142999 5.56207 4.98049 0.0323033
94 1.58973 1.51791 0.014168 4.97076 4.98039 0.0319579
95 1.33122 1.51595 0.0141551 4.91305 4.97968 0.0316277
96 1.58494 1.51667 0.0140253 4.68447 4.9766 0.0314472
97 1.34594 1.51491 0.0139911 4.57604 4.97247 0.0313941
98 1.29115 1.51262 0.0140346 5.08166 4.97359 0.0310921
99 1.44084 1.5119 0.013911 5.51794 4.97909 0.0312637
100 1.6723 1.5135 0.0138643 4.92231 4.97852 0.0309547
101 1.57874 1.51415 0.0137416 5.04107 4.97914 0.030653
102 1.37525 1.51279 0.0136741 4.60263 4.97545 0.0305746
103 1.79677 1.51554 0.0138186 4.69576 4.97273 0.0303978
104 1.52133 1.5156 0.0136852 4.92008 4.97222 0.0301084
105 1.74185 1.51775 0.0137244 4.98378 4.97233 0.0298204
106 1.56014 1.51815 0.0136002 5.29932 4.97542 0.0296984
