# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.5235
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.509
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
90 0.882889 1.73033 0.0897561 4.93093 3.83802 0.166696
91 0.882889 1.72101 0.0892515 4.93093 3.85003 0.165291
92 0.933428 1.71245 0.0886901 4.93093 3.86178 0.163906
93 1.14403 1.70634 0.0879439 5.37204 3.87802 0.162946
94 2.05561 1.71006 0.0870826 5.37204 3.89391 0.161984
95 2.05561 1.71369 0.0862379 3.61033 3.89092 0.160298
96 2.05561 1.71726 0.0854091 3.61033 3.888 0.158646
97 1.85517 1.71868 0.084536 3.61033 3.88514 0.157028
98 1.99373 1.72148 0.083716 3.61033 3.88234 0.155443
99 2.60664 1.73042 0.083347 4.80855 3.89169 0.154149
100 2.26992 1.73582 0.0826855 4.52169 3.89799 0.15273
101 2.26992 1.74111 0.0820334 4.52169 3.90417 0.151336
102 2.15202 1.74514 0.081325 3.33495 3.89859 0.149949
103 1.51102 1.74286 0.0805636 3.33495 3.89311 0.148587
104 1.77294 1.74315 0.0797857 3.33495 3.88775 0.147249
105 2.27128 1.74818 0.0791821 3.33495 3.88248 0.145935
106 2.27128 1.75312 0.0785867 3.33495 3.87732 0.144644
107 2.49001 1.76 0.0781528 3.33495 3.87225 0.143375
108 2.49001 1.76676 0.0777202 3.33495 3.86727 0.142129
109 2.25131 1.77121 0.0771321 3.94426 3.86798 0.140821
110 1.08075 1.76493 0.076685 3.94426 3.86867 0.139536
111 0.893367 1.75708 0.0763956 3.94426 3.86935 0.138275
112 0.893367 1.74937 0.0761022 3.74888 3.86828 0.137039
113 0.599759 1.73919 0.0761087 2.12467 3.85285 0.136695
114 0.599759 1.7292 0.0760974 2.12467 3.83769 0.136336
115 1.00877 1.72294 0.0756925 2.12467 3.82279 0.135963
116 1.00877 1.71678 0.0752892 2.12467 3.80815 0.135579
117 1.00877 1.71073 0.0748879 1.49203 3.78836 0.135865
118 1.00877 1.70478 0.0744884 1.49203 3.7689 0.136107
119 0.908873 1.69809 0.074162 2.7764 3.76056 0.135216
120 1.0226 1.69246 0.0737565 2.73661 3.75202 0.134356
121 1.0226 1.68693 0.0733536 2.73661 3.74363 0.133505
122 1.0226 1.68148 0.0729534 2.73661 3.73538 0.132663
123 0.609272 1.67276 0.072881 3.07356 3.73 0.13169
124 0.815382 1.66585 0.0726208 3.07356 3.7247 0.130731
125 0.815382 1.65904 0.0723581 3.85453 3.72574 0.129685
126 0.737584 1.65173 0.0721531 3.85453 3.72676 0.128655
127 0.737584 1.64453 0.0719437 3.85453 3.72777 0.127642
128 0.737584 1.63745 0.0717302 3.49191 3.72593 0.126655
129 0.737584 1.63047 0.071513 3.49191 3.72411 0.125682
130 1.11251 1.62649 0.0710726 3.49191 3.72233 0.124724
131 1.3149 1.62411 0.070568 3.49191 3.72057 0.123781
132 1.02373 1.61956 0.0701789 3.49191 3.71884 0.122852
133 1.38827 1.61782 0.069671 3.49191 3.71713 0.121937
134 1.19796 1.61469 0.0692201 2.98562 3.71167 0.121146
135 1.97933 1.61739 0.0687585 3.14269 3.70746 0.12032
136 1.97933 1.62005 0.0683029 3.14269 3.7033 0.119504
137 1.97933 1.62267 0.0678532 3.14269 3.69921 0.118699
138 2.89514 1.63189 0.0679879 3.14269 3.69518 0.117904
139 2.852 1.64067 0.0680654 3.14269 3.6912 0.117121
140 2.93489 1.64992 0.0682068 3.14269 3.68729 0.116347
141 2.93489 1.65903 0.0683318 3.33082 3.68476 0.115547
142 1.91681 1.66084 0.0678732 3.33082 3.68227 0.114757
143 2.19206 1.66456 0.0674991 3.33082 3.67981 0.113978
144 2.19206 1.66822 0.0671288 3.33082 3.67738 0.11321
145 1.71528 1.66855 0.066665 3.33082 3.67499 0.112452
146 2.22518 1.67236 0.0663165 3.33082 3.67264 0.111704
147 2.50616 1.67803 0.0661076 3.47681 3.6713 0.110949
148 2.64424 1.68456 0.0659832 3.47681 3.66999 0.110205
149 2.54171 1.69031 0.0657908 3.47681 3.66869 0.109471
150 1.88688 1.69162 0.0653639 3.47681 3.66741 0.108746
151 1.28923 1.68896 0.0649842 3.29043 3.66492 0.108052
152 0.651251 1.68213 0.0649153 3.29043 3.66245 0.107367
153 1.29585 1.67961 0.064539 0.932032 3.64461 0.108146
154 1.29585 1.67712 0.064167 3.31348 3.64246 0.107463
155 1.57871 1.67648 0.0637548 1.1484 3.62637 0.107973
156 1.57871 1.67585 0.0633479 1.1484 3.61048 0.108448
157 1.34556 1.67375 0.0629783 3.30382 3.60853 0.107773
158 1.08789 1.67004 0.0626882 3.30382 3.6066 0.107106
159 1.24316 1.66736 0.0623505 2.94467 3.60244 0.106511
160 0.704181 1.66134 0.0622513 2.68698 3.59672 0.105998
161 0.704181 1.65539 0.0621484 2.68698 3.59107 0.105489
162 0.704181 1.64952 0.0620421 2.68698 3.58548 0.104984
163 0.704181 1.64372 0.0619324 4.52044 3.59122 0.104496
164 0.704181 1.63799 0.0618197 5.46017 3.60262 0.10448
165 0.704181 1.63233 0.061704 4.51408 3.60814 0.103992
166 0.704181 1.62674 0.0615855 4.51408 3.6136 0.103508
167 0.413082 1.61947 0.0616455 4.039 3.61615 0.102917
168 0.413082 1.61229 0.0616967 4.039 3.61866 0.102334
169 1.3049 1.61047 0.0613575 6.14753 3.63363 0.102821
170 1.55927 1.61017 0.0609963 5.34388 3.64369 0.102709
171 1.55927 1.60988 0.0606393 7.07311 3.66374 0.104057
172 2.70471 1.61624 0.0606208 7.07311 3.68356 0.105332
173 2.17438 1.61947 0.0603557 7.07311 3.70316 0.106539
174 2.17438 1.62266 0.0600925 7.84652 3.72697 0.108568
175 1.81009 1.62373 0.0597577 8.12027 3.75207 0.110827
176 2.20993 1.62706 0.0595105 8.12027 3.77689 0.112956
177 1.79982 1.62803 0.0591813 6.41184 3.79178 0.113298
178 1.79459 1.62897 0.0588554 6.41184 3.8065 0.113617
179 1.79459 1.62989 0.058533 5.12472 3.81386 0.11322
180 1.79459 1.63081 0.0582141 4.96668 3.82027 0.112772
181 1.79459 1.63171 0.0578986 4.96668 3.8266 0.112326
182 1.79459 1.63261 0.0575866 7.38058 3.84613 0.113401
183 1.006 1.62919 0.0573733 7.38058 3.86544 0.114421
184 1.006 1.6258 0.057161 7.90862 3.88742 0.1159
185 1.006 1.62245 0.0569499 7.79623 3.90855 0.117192
186 0.561114 1.61674 0.0569295 9.8658 3.94057 0.12088
187 0.561114 1.6111 0.056905 9.02398 3.96776 0.123267
188 0.561114 1.60551 0.0568764 6.88206 3.98326 0.123586
189 1.03382 1.60249 0.0566554 5.78271 3.99278 0.123298
190 1.03382 1.59949 0.0564359 5.78271 4.0022 0.123009
191 1.03382 1.59653 0.0562177 5.78271 4.01152 0.122718
192 1.04817 1.59368 0.055997 5.78271 4.02075 0.122425
193 1.04817 1.59085 0.0557778 6.47373 4.03346 0.12245
194 0.233426 1.58385 0.0559289 6.47373 4.04604 0.122465
195 0.233426 1.57693 0.0560707 6.67805 4.05953 0.122581
196 0.233426 1.57007 0.0562034 4.84259 4.06353 0.122019
197 0.233426 1.56329 0.0563275 5.34152 4.07002 0.121572
198 0.233426 1.55657 0.0564434 5.34152 4.07644 0.121126
199 0.233426 1.54992 0.0565513 5.21979 4.08218 0.120653
200 0.233426 1.54334 0.0566515 5.00041 4.08677 0.120136
201 0.233426 1.53682 0.0567444 4.2256 4.08747 0.119539
202 0.233426 1.53037 0.0568303 6.8091 4.10094 0.119706
203 0.233426 1.52398 0.0569094 8.56961 4.12295 0.121132
204 0.233426 1.51766 0.056982 8.56961 4.14475 0.122492
205 0.233426 1.51139 0.0570484 8.56961 4.16633 0.123789
206 0.233426 1.50519 0.0571087 10.0534 4.19491 0.126458
207 0.233426 1.49904 0.0571633 8.61386 4.21626 0.127644
208 0.233426 1.49296 0.0572123 9.44126 4.24138 0.129488
209 0.233426 1.48693 0.0572559 9.32773 4.26572 0.131145
210 0.233426 1.48096 0.0572944 8.92843 4.28792 0.132394
211 1.23087 1.47978 0.0570346 9.20835 4.31124 0.133813
212 1.23087 1.4786 0.056777 9.20835 4.33434 0.135169
213 1.09314 1.47679 0.0565388 10.6974 4.36421 0.137809
214 1.09314 1.475 0.0563025 10.6974 4.39381 0.14032
215 1.09314 1.47323 0.0560682 10.6974 4.42312 0.14271
216 1.09314 1.47147 0.0558358 10.9215 4.45321 0.145199
217 1.4498 1.47137 0.0555779 8.83677 4.47341 0.145933
218 1.78596 1.47281 0.0553412 6.78043 4.48399 0.145647
219 1.78596 1.47424 0.0551065 6.32072 4.49238 0.145223
220 1.78596 1.47566 0.0548737 6.32072 4.50069 0.1448
221 1.78596 1.47706 0.0546429 5.50187 4.50522 0.144215
222 0.900063 1.47446 0.0544583 4.34522 4.5045 0.143565
223 1.01188 1.47239 0.0542532 4.34522 4.50379 0.142922
