# Monte Carlo estimation of the integral using uniform sampling in [0,1)
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: L = 10000
# Columns:
# 1) block index
# 2) I estimate in the block
# 3) progressive mean of I
# 4) progressive statistical uncertainty

172 0.997204 1.0002 0.000367527
173 1.00557 1.00024 0.000366709
174 1.00237 1.00025 0.000364802
175 0.995764 1.00022 0.000363615
176 0.995268 1.00019 0.000362637
177 0.990252 1.00014 0.000364931
178 1.0025 1.00015 0.000363118
179 1.00511 1.00018 0.000362147
180 1.00169 1.00019 0.000360227
181 0.992189 1.00014 0.000360946
182 1.00499 1.00017 0.000359943
183 0.996256 1.00015 0.000358609
184 1.00662 1.00018 0.000358386
185 1.00035 1.00018 0.000356445
186 1.00516 1.00021 0.00035553
187 1.00242 1.00022 0.000353821
188 0.993569 1.00019 0.000353709
189 0.989159 1.00013 0.000356639
190 0.992597 1.00009 0.000356965
191 1.00625 1.00012 0.000356551
192 1.00163 1.00013 0.000354776
193 1.00013 1.00013 0.000352933
194 0.99767 1.00012 0.000351338
195 1.00379 1.00014 0.000350039
196 1.00484 1.00016 0.000349074
197 1.00109 1.00016 0.000347329
198 0.994708 1.00014 0.000346668
199 0.996558 1.00012 0.00034539
200 1.00398 1.00014 0.000344201
201 0.998632 1.00013 0.000342566
202 0.997361 1.00012 0.000341142
203 0.994554 1.00009 0.000340561
204 0.997596 1.00008 0.000339108
205 0.999942 1.00008 0.00033745
206 1.0031 1.00009 0.000336129
207 1.0039 1.00011 0.000335007
208 1.00142 1.00012 0.000333451
209 1.00201 1.00012 0.000331976
210 0.994558 1.0001 0.000331453
211 0.996626 1.00008 0.000330289
212 0.993133 1.00005 0.000330358
213 1.00647 1.00008 0.00033018
214 0.998457 1.00007 0.000328721
215 1.00181 1.00008 0.000327288
216 0.992467 1.00004 0.00032767
217 0.99919 1.00004 0.00032618
218 0.991391 1 0.000327096
219 1.00415 1.00002 0.00032615
220 1.0021 1.00003 0.000324802
221 1.00466 1.00005 0.000324007
222 0.998167 1.00004 0.000322656
223 1.00622 1.00007 0.0003224
224 1.00488 1.00009 0.000321676
225 0.992582 1.00006 0.000321977
226 1.00726 1.00009 0.000322129
227 0.995639 1.00007 0.000321306
228 0.991262 1.00003 0.000322217
229 0.997444 1.00002 0.000321006
230 1.00211 1.00003 0.000319736
231 0.99706 1.00002 0.000318608
232 1.00561 1.00004 0.000318147
233 0.997108 1.00003 0.000317028
234 1.00679 1.00006 0.000316991
235 1.00176 1.00006 0.000315723
236 0.995515 1.00004 0.000314972
237 0.997599 1.00003 0.00031381
238 1.00679 1.00006 0.000313774
239 0.994035 1.00004 0.000313475
240 1.0072 1.00007 0.000313587
241 0.988783 1.00002 0.000315774
242 0.995976 1 0.00031491
243 0.992034 0.999971 0.000315321
244 0.999113 0.999967 0.000314046
245 1.0094 1.00001 0.000315124
246 0.997558 0.999996 0.000313998
247 1.00218 1 0.00031285
248 1.00086 1.00001 0.000311605
249 1.0022 1.00002 0.000310475
250 1.00506 1.00004 0.000309889
251 1.00093 1.00004 0.000308673
252 1.00357 1.00005 0.000307765
253 1.00029 1.00006 0.000306547
254 1.00067 1.00006 0.000305348
255 0.998997 1.00005 0.000304177
256 0.995535 1.00004 0.0003035
257 1.00038 1.00004 0.000302319
258 1.00189 1.00004 0.000301231
259 0.993168 1.00002 0.000301238
260 0.998993 1.00001 0.000300103
261 0.996897 1 0.000299189
262 0.999865 1 0.000298046
263 1.0063 1.00003 0.000297874
264 0.999642 1.00002 0.000296748
265 1.01122 1.00007 0.000298631
266 1.00466 1.00008 0.000298006
267 0.993621 1.00006 0.000297873
268 1.00446 1.00008 0.000297214
269 0.995042 1.00006 0.000296698
270 0.999111 1.00005 0.000295618
271 1.00247 1.00006 0.00029466
272 1.00509 1.00008 0.000294156
273 1.01109 1.00012 0.000295838
274 0.996462 1.00011 0.000295059
275 1.00517 1.00013 0.00029456
276 1.00315 1.00014 0.000293695
277 0.999959 1.00014 0.000292633
278 0.999985 1.00014 0.000291579
279 1.00043 1.00014 0.000290534
280 1.00268 1.00015 0.000289638
281 0.989179 1.00011 0.000291232
282 1.00247 1.00012 0.000290319
283 0.993844 1.00009 0.000290139
284 0.992941 1.00007 0.00029021
285 1.00721 1.00009 0.000290274
286 1.00759 1.00012 0.000290443
287 1.00078 1.00012 0.000289439
288 0.988273 1.00008 0.000291351
289 1.00304 1.00009 0.000290522
290 1.00886 1.00012 0.000291094
291 1.0009 1.00012 0.000290105
292 0.99663 1.00011 0.000289357
293 1.00489 1.00013 0.000288828
294 0.998701 1.00012 0.000287885
295 0.995254 1.00011 0.000287382
296 0.997192 1.0001 0.000286579
297 1.00176 1.0001 0.000285667
298 1.00346 1.00011 0.00028493
299 0.998205 1.00011 0.000284047
300 0.993747 1.00009 0.000283891
301 0.995601 1.00007 0.000283339
302 1.01244 1.00011 0.000285355
303 1.00611 1.00013 0.000285099
304 0.997842 1.00012 0.00028426
305 0.994911 1.00011 0.000283842
306 1.00499 1.00012 0.000283363
307 1.01219 1.00016 0.000285159
308 1.00428 1.00018 0.000284545
309 0.998289 1.00017 0.000283688
310 1.01304 1.00021 0.000285801
311 0.995539 1.0002 0.000285276
312 0.997274 1.00019 0.000284515
313 1.00047 1.00019 0.000283606
314 1.0104 1.00022 0.000284567
315 1.00012 1.00022 0.000283662
316 1.00352 1.00023 0.000282956
317 0.997144 1.00022 0.00028223
318 0.993491 1.0002 0.000282136
319 1.00394 1.00021 0.000281494
320 1.00076 1.00021 0.000280619
321 1.00678 1.00023 0.00028049
322 0.996269 1.00022 0.000279889
323 0.99482 1.0002 0.000279522
324 0.9938 1.00019 0.000279358
325 0.997002 1.00018 0.000278669
326 1.00184 1.00018 0.00027786
327 1.00297 1.00019 0.000277141
328 0.990685 1.00016 0.00027781
329 0.998244 1.00015 0.000277025
330 1.00397 1.00017 0.000276427
331 0.989817 1.00013 0.000277359
332 0.995785 1.00012 0.000276832
333 0.996094 1.00011 0.000276265
334 1.00144 1.00011 0.000275465
335 1.00764 1.00014 0.00027556
336 1.00211 1.00014 0.000274801
337 1.0023 1.00015 0.000274059
338 0.994884 1.00013 0.000273691
339 0.995419 1.00012 0.000273236
340 0.998422 1.00011 0.000272477
341 1.00166 1.00012 0.000271714
342 0.997313 1.00011 0.000271043
343 1.00045 1.00011 0.000270253
344 0.988323 1.00008 0.000271637
345 1.00112 1.00008 0.000270865
346 1.00562 1.0001 0.000270555
347 1.00537 1.00011 0.000270202
348 1.00615 1.00013 0.000269983
349 0.999894 1.00013 0.00026921
350 1.0006 1.00013 0.000268443
351 0.989223 1.0001 0.000269474
352 1.00002 1.0001 0.000268707
353 0.996308 1.00009 0.00026816
354 0.998967 1.00008 0.00026742
355 1.00504 1.0001 0.00026703
356 1.00729 1.00012 0.000267044
357 1.0002 1.00012 0.000266295
358 1.01423 1.00016 0.000268459
359 1.00281 1.00016 0.000267812
360 0.99546 1.00015 0.000267386
361 0.995651 1.00014 0.000266936
362 1.00079 1.00014 0.000266203
363 0.995697 1.00013 0.000265751
364 0.995434 1.00012 0.000265334
365 1.00324 1.00012 0.000264744
366 1.00442 1.00014 0.000264281
367 0.999232 1.00013 0.000263571
368 0.99467 1.00012 0.000263273
369 1.00016 1.00012 0.000262559
370 1.00379 1.00013 0.000262036
371 1.00688 1.00015 0.000261961
372 0.99614 1.00014 0.000261478
373 1.00298 1.00014 0.000260887
374 1.00372 1.00015 0.000260365
375 1.00352 1.00016 0.000259825
376 0.999904 1.00016 0.000259133
377 1.00185 1.00017 0.000258484
378 0.995094 1.00015 0.000258148
379 1.00301 1.00016 0.000257576
380 1.00087 1.00016 0.000256904
381 0.999997 1.00016 0.00025623
382 0.999084 1.00016 0.000255573
383 0.996877 1.00015 0.000255049
384 1.00025 1.00015 0.000254384
385 0.998688 1.00015 0.000253751
386 1.00836 1.00017 0.000253986
387 0.996085 1.00016 0.000253549
388 1.0012 1.00016 0.000252908
389 1.00781 1.00018 0.000253023
390 0.997636 1.00017 0.000252458
391 1.00694 1.00019 0.000252405
392 1.00039 1.00019 0.000251761
393 1.00763 1.00021 0.000251832
394 1.00262 1.00022 0.000251266
395 1.0049 1.00023 0.00025091
396 1.00324 1.00024 0.000250391
397 1.00306 1.00024 0.000249861
398 0.996171 1.00023 0.000249442
399 1.00437 1.00024 0.000249032
400 1.00024 1.00024 0.000248409
401 1.00282 1.00025 0.000247872
402 0.999211 1.00025 0.000247268
403 0.996256 1.00024 0.000246852
404 1.00033 1.00024 0.000246241
405 1.00185 1.00024 0.000245664
406 1.00083 1.00024 0.000245063
407 0.993916 1.00023 0.000244954
408 1.00438 1.00024 0.000244564
409 1.00251 1.00024 0.000244029
410 1.00568 1.00026 0.000243794
411 0.997781 1.00025 0.000243275
412 0.998365 1.00025 0.000242727
413 1.00126 1.00025 0.000242151
414 0.998402 1.00024 0.000241606
415 0.998211 1.00024 0.000241073
416 0.99827 1.00023 0.00024054
417 1.00835 1.00025 0.00024075
418 1.00486 1.00026 0.000240426
419 0.996779 1.00026 0.000239996
420 0.999361 1.00025 0.000239433
421 0.995798 1.00024 0.000239098
422 0.997842 1.00024 0.000238599
423 1.00677 1.00025 0.000238535
424 1.00053 1.00025 0.000237973
425 1.00322 1.00026 0.000237515
426 0.998071 1.00026 0.000237012
427 1.00746 1.00027 0.000237058
428 1.0015 1.00028 0.000236521
429 1.00211 1.00028 0.000236007
430 1.0079 1.0003 0.000236124
431 0.996503 1.00029 0.00023574
432 0.99904 1.00029 0.000235211
433 0.999602 1.00028 0.000234673
434 0.998022 1.00028 0.000234189
435 0.993524 1.00026 0.000234166
436 0.992826 1.00025 0.00023425
437 0.997084 1.00024 0.000233825
438 1.00542 1.00025 0.000233591
439 0.997209 1.00024 0.000233161
440 1.00366 1.00025 0.00023276
441 0.994577 1.00024 0.000232588
442 0.993714 1.00022 0.00023253
443 0.999878 1.00022 0.000232006
444 0.995498 1.00021 0.000231727
445 1.0089 1.00023 0.000232029
446 1.0025 1.00024 0.000231564
447 0.994829 1.00023 0.000231362
448 1.00891 1.00024 0.000231657
449 0.997221 1.00024 0.000231238
450 1.00679 1.00025 0.000231183
451 0.993484 1.00024 0.000231157
452 0.999105 1.00023 0.000230659
453 1.0005 1.00024 0.00023015
454 1.00254 1.00024 0.000229698
455 1.00716 1.00026 0.000229697
456 0.998349 1.00025 0.00022923
457 1.00373 1.00026 0.000228855
458 0.998039 1.00025 0.000228406
459 1.00338 1.00026 0.00022801
460 1.00289 1.00027 0.000227585
461 0.996129 1.00026 0.000227268
462 0.99978 1.00026 0.000226778
463 1.00567 1.00027 0.00022659
464 1.00198 1.00027 0.000226131
465 0.997772 1.00027 0.000225708
466 0.995857 1.00026 0.000225422
467 1.00177 1.00026 0.000224962
468 1.00124 1.00026 0.000224491
469 1.00315 1.00027 0.000224096
470 0.999558 1.00027 0.000223624
471 0.996994 1.00026 0.000223257
472 1.00741 1.00028 0.000223298
473 0.996727 1.00027 0.000222951
474 1.00239 1.00027 0.000222526
475 0.996137 1.00026 0.000222227
476 1.0007 1.00026 0.000221762
477 1.00216 1.00027 0.000221332
478 0.99517 1.00026 0.000221126
479 1.00302 1.00026 0.000220739
480 0.999839 1.00026 0.000220281
481 0.996192 1.00025 0.000219985
482 0.99945 1.00025 0.000219534
483 0.998541 1.00025 0.000219108
484 0.997793 1.00024 0.000218714
485 1.00398 1.00025 0.000218399
486 1.00564 1.00026 0.00021823
487 0.996975 1.00026 0.000217886
488 0.998084 1.00025 0.000217485
489 1.01006 1.00027 0.000217965
490 1.00062 1.00027 0.000217521
491 1.00068 1.00027 0.000217079
492 1.00287 1.00028 0.000216702
493 0.994644 1.00027 0.000216564
