# Monte Carlo estimation of the integral using importance sampling with pdf (1+π/4)-(π/2)*x
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: L = 10000
# Columns:
# 1) block index
# 2) I estimate in the block
# 3) progressive mean of I
# 4) progressive statistical uncertainty

170 1.00054 0.999988 9.41134e-05
171 1.00224 1 9.44859e-05
172 1.00105 1.00001 9.41341e-05
173 0.99979 1.00001 9.35968e-05
174 0.998774 0.999999 9.33266e-05
175 0.998723 0.999992 9.3078e-05
176 1.00094 0.999998 9.27048e-05
177 1.00035 1 9.22012e-05
178 1.0004 1 9.17097e-05
179 0.999697 1 9.12118e-05
180 1.0005 1 9.07466e-05
181 0.999191 0.999998 9.03551e-05
182 1.0009 1 8.99928e-05
183 0.99859 0.999996 8.98325e-05
184 0.999561 0.999993 8.93742e-05
185 1.00228 1.00001 8.97416e-05
186 1.00056 1.00001 8.93081e-05
187 0.999819 1.00001 8.8835e-05
188 0.99952 1 8.83992e-05
189 1.00009 1.00001 8.79312e-05
190 0.99951 1 8.75061e-05
191 1.00146 1.00001 8.73823e-05
192 1.00102 1.00002 8.70852e-05
193 0.998872 1.00001 8.68353e-05
194 1.00099 1.00001 8.65331e-05
195 0.999127 1.00001 8.62086e-05
196 0.998895 1 8.59562e-05
197 1.00279 1.00002 8.66764e-05
198 1.0003 1.00002 8.62493e-05
199 1.00059 1.00002 8.5862e-05
200 1.0003 1.00002 8.54428e-05
201 0.998636 1.00002 8.52967e-05
202 0.998324 1.00001 8.52863e-05
203 0.998244 1 8.53095e-05
204 0.999389 0.999997 8.49433e-05
205 1.00217 1.00001 8.519e-05
206 0.999964 1.00001 8.47757e-05
207 0.999149 1 8.4467e-05
208 1.00103 1.00001 8.42045e-05
209 0.997746 0.999998 8.44973e-05
210 1.00091 1 8.42063e-05
211 1.00035 1 8.38224e-05
212 1.00086 1.00001 8.3524e-05
213 1.00134 1.00001 8.33643e-05
214 1.00113 1.00002 8.31369e-05
215 1.0011 1.00002 8.29025e-05
216 0.999103 1.00002 8.26279e-05
217 1.0022 1.00003 8.2859e-05
218 0.998317 1.00002 8.28513e-05
219 1.00031 1.00002 8.24825e-05
220 1.0004 1.00003 8.21248e-05
221 0.997829 1.00002 8.2354e-05
222 0.999889 1.00001 8.19841e-05
223 1.00089 1.00002 8.17092e-05
224 0.998451 1.00001 8.16442e-05
225 1.00008 1.00001 8.12811e-05
226 1.00256 1.00002 8.17028e-05
227 1.00009 1.00002 8.13427e-05
228 1.00118 1.00003 8.11428e-05
229 1.00016 1.00003 8.07896e-05
230 1.00001 1.00003 8.04376e-05
231 0.998892 1.00002 8.02397e-05
232 1.00035 1.00003 7.99056e-05
233 0.999382 1.00002 7.96099e-05
234 0.999909 1.00002 7.92704e-05
235 0.999034 1.00002 7.90443e-05
236 1.00096 1.00002 7.88088e-05
237 0.999614 1.00002 7.84944e-05
238 1.00095 1.00002 7.82611e-05
239 1.00087 1.00003 7.80134e-05
240 1.00252 1.00004 7.83803e-05
241 0.999831 1.00004 7.80592e-05
242 1.0004 1.00004 7.77507e-05
243 0.99903 1.00003 7.75414e-05
244 1.00212 1.00004 7.76942e-05
245 1.00154 1.00005 7.76161e-05
246 1.00209 1.00006 7.77436e-05
247 0.99965 1.00006 7.74458e-05
248 0.997453 1.00005 7.78437e-05
249 1.00049 1.00005 7.75508e-05
250 1.00076 1.00005 7.72925e-05
251 0.999491 1.00005 7.70161e-05
252 0.998509 1.00004 7.69527e-05
253 1.002 1.00005 7.70388e-05
254 0.999476 1.00005 7.67682e-05
255 1.0023 1.00006 7.69734e-05
256 1.00028 1.00006 7.66771e-05
257 1.0001 1.00006 7.63783e-05
258 1.00048 1.00006 7.60995e-05
259 1.00012 1.00006 7.58055e-05
260 1.00188 1.00007 7.58387e-05
261 0.999956 1.00007 7.55488e-05
262 1.00249 1.00007 7.58244e-05
263 1.00004 1.00007 7.55357e-05
264 1.00127 1.00008 7.53858e-05
265 1.00223 1.00009 7.55391e-05
266 0.998356 1.00008 7.55356e-05
267 1 1.00008 7.52528e-05
268 0.999486 1.00008 7.50043e-05
269 0.998201 1.00007 7.50502e-05
270 1.00068 1.00007 7.48058e-05
271 0.999499 1.00007 7.45594e-05
272 1.00174 1.00008 7.45361e-05
273 0.998728 1.00007 7.44269e-05
274 1.00042 1.00007 7.41653e-05
275 1.00169 1.00008 7.41298e-05
276 1.00202 1.00009 7.41945e-05
277 0.99915 1.00008 7.40035e-05
278 1.00183 1.00009 7.40028e-05
279 1.00267 1.0001 7.43155e-05
280 0.99999 1.0001 7.40507e-05
281 0.997947 1.00009 7.4183e-05
282 1.00101 1.00009 7.39912e-05
283 0.999735 1.00009 7.37402e-05
284 0.999046 1.00009 7.35726e-05
285 0.999327 1.00009 7.33628e-05
286 1.00081 1.00009 7.31498e-05
287 0.998658 1.00008 7.30648e-05
288 1.00025 1.00008 7.28128e-05
289 0.99791 1.00008 7.29495e-05
290 0.999531 1.00008 7.27219e-05
291 1.00048 1.00008 7.24848e-05
