           1     1.40135     1.40135           0
           2     1.49691     1.44913    0.033788
           3     1.44286     1.44704     0.02259
           4     1.47525     1.45409   0.0180099
           5     1.60714      1.4847   0.0309385
           6     1.54824     1.49529    0.027535
           7     1.47841     1.49288   0.0237067
           8     1.38256     1.47909   0.0244273
           9     1.49902     1.48131   0.0218133
          10     1.42195     1.47537   0.0204236
          11     1.33923     1.46299   0.0219997
          12     1.46952     1.46354   0.0201731
          13     1.54819     1.47005   0.0196443
          14     1.41636     1.46621   0.0186117
          15     1.40734     1.46229   0.0177799
          16     1.21212     1.44665   0.0225174
          17     1.50512     1.45009   0.0214539
          18     1.51885     1.45391   0.0205993
          19     1.50236     1.45646   0.0196722
          20     1.57498     1.46239   0.0195609
          21     1.56308     1.46718   0.0192081
          22     1.40306     1.46427   0.0185548
          23     1.36525     1.45996   0.0182407
          24     1.50095     1.46167   0.0175605
          25     1.39016     1.45881   0.0170894
          26     1.42204      1.4574   0.0164905
          27      1.4012     1.45531   0.0160106
          28     1.45497      1.4553   0.0154388
          29     1.45838     1.45541   0.0149068
          30     1.54194     1.45829   0.0146863
          31     1.43296     1.45748   0.0142352
          32       1.566     1.46087   0.0141886
          33     1.40566     1.45919    0.013857
          34     1.44105     1.45866   0.0134597
          35     1.45808     1.45864   0.0130751
          36     1.43077     1.45787   0.0127348
          37     1.52413     1.45966   0.0125159
          38     1.61693      1.4638   0.0128526
          39     1.27871     1.45905   0.0133706
          40     1.57613     1.46198   0.0133528
          41     1.59411      1.4652   0.0134104
          42     1.44838      1.4648   0.0130971
          43     1.33358     1.46175   0.0131433
          44     1.45077      1.4615   0.0128469
          45     1.65773     1.46586   0.0132809
          46     1.38847     1.46418   0.0130983
          47     1.56157     1.46625   0.0129825
          48     1.44363     1.46578   0.0127206
          49     1.39909     1.46442   0.0125336
          50     1.35818     1.46229   0.0124617
